framework,framework_version,system,model,attn_tp,moe_tp,ep,num_slots,gemm_quant,moe_quant,attn_quant,kv_quant,phase,batch_size,new_tokens,past_kv,layer_type,layer_index,measured_layer_count,layer_multiplier,latency_ms,rms_latency_ms,rms_kernel_count,includes_moe,moe_weight_mode,latency_source,physical_gpus,max_num_seqs,max_num_batched_tokens,vllm_config_hash
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,16,512,dense,0,64,64,7.559188999948674,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,128,512,dense,0,64,64,7.8975287497087265,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,1024,512,dense,0,64,64,18.925651499557716,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,2048,512,dense,0,64,64,32.61545399982424,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,1,1024,dense,0,64,64,21.142148999388155,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,16,1024,dense,0,64,64,7.598663250064419,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,128,1024,dense,0,64,64,8.0478147501708,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,1024,1024,dense,0,64,64,19.469062249299895,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,2048,1024,dense,0,64,64,32.913992749854515,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,1,2048,dense,0,64,64,33.11823749936593,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,16,2048,dense,0,64,64,7.6625907504421775,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,128,2048,dense,0,64,64,8.335770499797945,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,1024,2048,dense,0,64,64,19.623054500698345,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,2048,2048,dense,0,64,64,33.752743750483205,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,1,4096,dense,0,64,64,37.32524275073956,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,16,4096,dense,0,64,64,7.863473248107766,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,128,4096,dense,0,64,64,8.520542000042042,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,1024,4096,dense,0,64,64,20.489663500484312,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,2048,4096,dense,0,64,64,35.29267574776895,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,1,8192,dense,0,64,64,36.91403425000317,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,16,8192,dense,0,64,64,8.159306001289224,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,128,8192,dense,0,64,64,8.966945749307342,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,1024,8192,dense,0,64,64,22.107107249212277,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,2048,8192,dense,0,64,64,38.60512625033152,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,1,16384,dense,0,64,64,37.0723967498634,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,16,16384,dense,0,64,64,8.68813249962841,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,128,16384,dense,0,64,64,9.713836499940953,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,1024,16384,dense,0,64,64,26.064954749017488,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,2048,16384,dense,0,64,64,45.38752350072173,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,1,32768,dense,0,64,64,37.73754874873703,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,16,32768,dense,0,64,64,10.17897524889122,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,128,32768,dense,0,64,64,11.82909299950552,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,1024,32768,dense,0,64,64,32.96110199971736,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,ctx,1,2048,32768,dense,0,64,64,58.7723435010048,0.0,0,False,dense,schedule_to_update,1,,2048,6952ce31bf653b1a
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,gen,1,1,1,dense,0,64,64,6.424863815307617,0.0,0,False,dense,execute_model_gpu,1,128,,4166d029102c3ecd
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,gen,1,1,4096,dense,0,64,64,6.5340800285339355,0.0,0,False,dense,execute_model_gpu,1,128,,4166d029102c3ecd
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,gen,1,1,8192,dense,0,64,64,6.689119815826416,0.0,0,False,dense,execute_model_gpu,1,128,,4166d029102c3ecd
