num_context_tokens,num_decode_tokens,latency_ms
2048,0,51.899
2048,0,46.951
2048,0,48.397
2048,0,50.125
0,1,6.191
0,1,6.181
0,1,6.173
0,1,6.189
0,1,6.213
0,1,6.193
0,1,6.175
0,1,6.179
0,1,6.190
0,1,6.227
0,1,6.164
0,1,6.163
0,1,6.204
0,1,6.183
0,1,6.219
0,1,6.167
0,1,6.145
0,1,6.174
0,1,6.170
0,1,6.167
0,1,6.157
0,1,6.166
0,1,6.134
0,1,6.151
0,1,6.136
0,1,6.197
0,1,6.120
0,1,6.111
0,1,6.158
0,1,6.178
0,1,6.148
0,1,6.111
0,1,6.129
0,1,6.129
0,1,6.135
0,1,6.105
0,1,6.123
0,1,6.135
0,1,6.111
0,1,6.132
0,1,6.105
0,1,6.129
0,1,6.125
0,1,6.109
0,1,6.098
0,1,6.128
0,1,6.119
0,1,6.091
0,1,6.108
0,1,6.103
0,1,6.101
0,1,6.083
0,1,6.102
0,1,6.094
0,1,6.104
0,1,6.079
0,1,6.102
0,1,6.081
0,1,6.106
0,1,6.085
0,1,6.120
0,1,6.143
0,1,6.317
0,1,5.816
0,1,6.080
0,1,6.123
0,1,6.073
0,1,6.065
0,1,6.100
0,1,6.100
0,1,6.088
0,1,6.080
0,1,6.138
0,1,6.045
0,1,6.088
0,1,6.093
0,1,6.107
0,1,6.105
0,1,6.095
0,1,6.067
0,1,6.094
0,1,6.085
0,1,6.105
0,1,6.122
0,1,6.106
0,1,6.039
0,1,6.094
0,1,6.106
0,1,6.092
0,1,6.101
0,1,6.083
0,1,6.119
0,1,6.057
0,1,6.095
0,1,6.141
0,1,6.032
0,1,6.109
0,1,6.091
0,1,6.099
0,1,6.084
0,1,6.103
0,1,6.061
0,1,6.094
0,1,6.086
0,1,6.103
0,1,6.100
0,1,6.098
0,1,6.095
0,1,6.078
0,1,6.086
0,1,6.121
0,1,6.088
0,1,6.064
0,1,6.095
0,1,6.103
0,1,6.069
0,1,6.104
0,1,6.087
0,1,6.067
0,1,6.107
0,1,6.120
0,1,6.070
0,1,6.077
0,1,6.096
0,1,6.102
0,1,6.068
0,1,6.120
0,1,6.095
0,1,6.051
0,1,6.085
0,1,6.105
0,1,6.101
0,1,6.082
0,1,6.063
0,1,6.079
0,1,6.104
0,1,6.085
0,1,6.086
0,1,6.096
0,1,6.085
0,1,6.103
0,1,6.094
0,1,6.108
0,1,6.042
0,1,6.105
0,1,6.105
0,1,6.076
0,1,6.089
0,1,6.088
0,1,6.158
0,1,6.037
0,1,6.108
0,1,6.065
0,1,6.112
0,1,6.086
0,1,6.061
0,1,6.119
0,1,6.074
0,1,6.133
0,1,6.060
0,1,6.092
0,1,6.099
0,1,6.087
0,1,6.090
0,1,6.091
0,1,6.092
0,1,6.089
0,1,6.069
0,1,6.114
0,1,6.102
0,1,6.074
0,1,6.095
0,1,6.080
0,1,6.095
0,1,6.146
0,1,6.022
0,1,6.142
0,1,6.059
0,1,6.097
0,1,6.071
0,1,6.071
0,1,6.117
0,1,6.063
0,1,6.114
0,1,6.076
0,1,6.061
0,1,6.109
0,1,6.068
0,1,6.089
0,1,6.097
0,1,6.116
0,1,6.076
0,1,6.057
0,1,6.126
0,1,6.103
0,1,6.073
0,1,6.084
0,1,6.077
0,1,6.082
0,1,6.110
0,1,6.083
0,1,6.077
0,1,6.098
0,1,6.084
0,1,6.074
0,1,6.109
0,1,6.114
0,1,6.076
0,1,6.223
0,1,5.949
0,1,6.089
0,1,6.098
0,1,6.095
0,1,6.082
0,1,6.089
0,1,6.073
0,1,6.103
0,1,6.110
0,1,6.076
0,1,6.088
0,1,6.097
0,1,6.072
0,1,6.136
0,1,6.062
0,1,6.112
0,1,6.067
0,1,6.098
0,1,6.092
0,1,6.100
0,1,6.100
0,1,6.083
0,1,6.090
0,1,6.093
0,1,6.096
0,1,6.077
0,1,6.103
0,1,6.093
0,1,6.072
0,1,6.145
0,1,6.046
0,1,6.076
0,1,6.107
0,1,6.078
0,1,6.104
0,1,6.093
0,1,6.085
0,1,6.089
0,1,6.092
0,1,6.082
0,1,6.101
0,1,6.101
0,1,6.072
0,1,6.081
0,1,6.104
0,1,6.094
0,1,6.064
0,1,6.100
0,1,6.124
0,1,6.099
0,1,6.105
0,1,6.140
0,1,6.103
0,1,6.107
0,1,6.093
0,1,6.123
0,1,6.107
0,1,6.101
0,1,6.108
0,1,6.111
0,1,6.127
0,1,6.110
0,1,6.088
0,1,6.127
0,1,6.094
0,1,6.103
0,1,6.088
0,1,6.157
0,1,6.065
0,1,6.129
0,1,6.098
0,1,6.113
0,1,6.092
0,1,6.111
0,1,6.125
0,1,6.118
0,1,6.107
0,1,6.107
0,1,6.096
0,1,6.103
0,1,6.104
0,1,6.108
0,1,6.095
0,1,6.111
0,1,6.096
0,1,6.126
0,1,6.109
0,1,6.097
0,1,6.148
0,1,6.094
0,1,6.081
0,1,6.136
0,1,6.094
0,1,6.134
0,1,6.076
0,1,6.116
0,1,6.120
0,1,6.124
0,1,6.102
0,1,6.132
0,1,6.084
0,1,6.109
0,1,6.100
0,1,6.111
0,1,6.120
0,1,6.092
0,1,6.125
0,1,6.107
0,1,6.102
0,1,6.120
0,1,6.118
0,1,6.109
0,1,6.095
0,1,6.127
0,1,6.099
0,1,6.123
0,1,6.105
0,1,6.098
0,1,6.101
0,1,6.144
0,1,6.092
0,1,6.113
0,1,6.100
0,1,6.118
0,1,6.108
0,1,6.123
0,1,6.089
0,1,6.119
0,1,6.126
0,1,6.088
0,1,6.122
0,1,6.092
0,1,6.108
0,1,6.111
0,1,6.122
0,1,6.080
0,1,6.129
0,1,6.085
0,1,6.107
0,1,6.132
0,1,6.110
0,1,6.142
0,1,6.092
0,1,6.095
0,1,6.100
0,1,6.117
0,1,6.111
0,1,6.116
0,1,6.098
0,1,6.112
0,1,6.111
0,1,6.096
0,1,6.118
0,1,6.112
0,1,6.117
0,1,6.119
0,1,6.095
0,1,6.126
0,1,6.072
0,1,6.139
0,1,6.098
0,1,6.131
0,1,6.079
0,1,6.122
0,1,6.113
0,1,6.115
0,1,6.113
0,1,6.099
0,1,6.106
0,1,6.119
0,1,6.104
0,1,6.082
0,1,6.130
0,1,6.119
0,1,6.093
0,1,6.123
0,1,6.111
0,1,6.112
0,1,6.105
0,1,6.103
0,1,6.099
0,1,6.121
0,1,6.102
0,1,6.126
0,1,6.108
0,1,6.111
0,1,6.105
0,1,6.106
0,1,6.129
0,1,6.109
0,1,6.105
0,1,6.099
0,1,6.118
0,1,6.101
0,1,6.124
0,1,6.113
0,1,6.106
0,1,6.101
0,1,6.113
0,1,6.113
0,1,6.123
0,1,6.114
0,1,6.120
0,1,6.096
0,1,6.111
0,1,6.153
0,1,6.082
0,1,6.106
0,1,6.102
0,1,6.097
0,1,6.132
0,1,6.112
0,1,6.102
0,1,6.099
0,1,6.127
0,1,6.125
0,1,6.088
0,1,6.112
0,1,6.115
0,1,6.122
0,1,6.077
0,1,6.136
0,1,6.079
0,1,6.120
0,1,6.098
0,1,6.145
0,1,6.090
0,1,6.095
0,1,6.143
0,1,6.075
0,1,6.146
0,1,6.111
0,1,6.083
0,1,6.119
0,1,6.105
0,1,6.136
0,1,6.082
0,1,6.153
0,1,6.088
0,1,6.130
0,1,6.081
0,1,6.136
0,1,6.115
0,1,6.113
0,1,6.090
0,1,6.116
0,1,6.112
0,1,6.112
0,1,6.117
0,1,6.091
0,1,6.146
0,1,6.079
0,1,6.133
0,1,6.109
0,1,6.115
0,1,6.116
0,1,6.105
0,1,6.089
0,1,6.110
0,1,6.115
0,1,6.112
0,1,6.095
0,1,6.111
0,1,6.155
0,1,6.054
0,1,6.110
0,1,6.102
0,1,6.117
0,1,6.111
0,1,6.116
0,1,6.106
0,1,6.106
0,1,6.127
0,1,6.097
0,1,6.108
0,1,6.100
0,1,6.106
0,1,6.112
0,1,6.118
0,1,6.095
0,1,6.116
0,1,6.096
0,1,6.092
0,1,6.144
0,1,6.091
0,1,6.129
0,1,6.111
0,1,6.084
0,1,6.128
0,1,6.092
0,1,6.104
0,1,6.128
0,1,6.129
0,1,6.111
0,1,6.085
0,1,6.085
0,1,6.148
0,1,6.068
0,1,6.143
0,1,6.098
0,1,6.126
0,1,6.123
0,1,6.106
0,1,6.087
0,1,6.099
0,1,6.128
0,1,6.110
0,1,6.122
0,1,6.092
0,1,6.106
0,1,6.094
0,1,6.142
0,1,6.093
0,1,6.080
0,1,6.117
0,1,6.114
0,1,6.112
0,1,6.131
0,1,6.089
0,1,6.101
0,1,6.102
0,1,6.114
0,1,6.100
0,1,6.112
0,1,6.096
0,1,6.099
0,1,6.106
0,1,6.113
0,1,6.109
0,1,6.169
0,1,6.064
0,1,6.112
0,1,6.106
0,1,6.119
0,1,6.084
0,1,6.091
0,1,6.106
0,1,6.134
0,1,6.101
0,1,6.116
0,1,6.127
0,1,6.119
0,1,6.068
0,1,6.122
0,1,6.128
0,1,6.105
0,1,6.084
0,1,6.112
0,1,6.107
0,1,6.126
0,1,6.099
0,1,6.106
0,1,6.109
0,1,6.121
0,1,6.099
0,1,6.120
0,1,6.099
0,1,6.108
0,1,6.120
0,1,6.100
0,1,6.129
0,1,6.084
0,1,6.108
0,1,6.124
0,1,6.112
0,1,6.133
0,1,6.097
0,1,6.107
0,1,6.114
0,1,6.100
0,1,6.103
0,1,6.140
0,1,6.140
0,1,6.048
0,1,6.114
0,1,6.110
0,1,6.106
0,1,6.114
0,1,6.114
0,1,6.083
0,1,6.133
0,1,6.125
0,1,6.093
0,1,6.105
0,1,6.089
0,1,6.133
0,1,6.106
0,1,6.105
0,1,6.112
0,1,6.116
0,1,6.090
0,1,6.120
0,1,6.106
0,1,6.121
0,1,6.084
0,1,6.130
0,1,6.100
0,1,6.136
0,1,6.069
0,1,6.129
0,1,6.110
0,1,6.120
0,1,6.106
0,1,6.101
0,1,6.096
0,1,6.100
0,1,6.105
0,1,6.126
0,1,6.120
0,1,6.077
0,1,6.098
0,1,6.130
0,1,6.090
0,1,6.183
0,1,6.057
0,1,6.104
0,1,6.112
0,1,6.132
0,1,6.117
0,1,6.083
0,1,6.139
0,1,6.094
0,1,6.126
0,1,6.099
0,1,6.094
0,1,6.141
0,1,6.101
0,1,6.113
0,1,6.111
0,1,6.116
0,1,6.112
0,1,6.135
0,1,6.098
0,1,6.113
0,1,6.128
0,1,6.121
0,1,6.133
0,1,6.084
0,1,6.133
0,1,6.131
0,1,6.084
0,1,6.111
0,1,6.135
0,1,6.110
0,1,6.115
0,1,6.137
0,1,6.093
0,1,6.102
0,1,6.137
0,1,6.105
0,1,6.097
0,1,6.141
0,1,6.101
0,1,6.113
0,1,6.123
0,1,6.101
0,1,6.120
0,1,6.142
0,1,6.074
0,1,6.130
0,1,6.106
0,1,6.158
0,1,6.064
0,1,6.137
0,1,6.083
0,1,6.104
0,1,6.123
0,1,6.116
0,1,6.105
0,1,6.153
0,1,6.094
0,1,6.123
0,1,6.131
0,1,6.097
0,1,6.125
0,1,6.105
0,1,6.124
0,1,6.145
0,1,6.101
0,1,6.118
0,1,6.087
0,1,6.138
0,1,6.110
0,1,6.113
0,1,6.133
0,1,6.105
0,1,6.121
0,1,6.117
0,1,6.102
0,1,6.150
0,1,6.105
0,1,6.123
0,1,6.123
0,1,6.123
0,1,6.133
0,1,6.097
0,1,6.099
0,1,6.127
0,1,6.121
0,1,6.127
0,1,6.091
0,1,6.112
0,1,6.138
0,1,6.111
0,1,6.102
0,1,6.110
0,1,6.112
0,1,6.164
0,1,6.116
0,1,6.114
0,1,6.100
0,1,6.100
0,1,6.135
0,1,6.093
0,1,6.109
0,1,6.133
0,1,6.135
0,1,6.098
0,1,6.094
0,1,6.131
0,1,6.118
0,1,6.097
0,1,6.118
0,1,6.113
0,1,6.106
0,1,6.153
0,1,6.090
0,1,6.143
0,1,6.135
0,1,6.092
0,1,6.116
0,1,6.097
0,1,6.110
0,1,6.104
0,1,6.106
0,1,6.139
0,1,6.094
0,1,6.137
0,1,6.095
0,1,6.125
0,1,6.128
0,1,6.123
0,1,6.110
0,1,6.113
0,1,6.119
0,1,6.113
0,1,6.115
0,1,6.149
0,1,6.090
0,1,6.101
0,1,6.131
0,1,6.117
0,1,6.138
0,1,6.086
0,1,6.120
0,1,6.139
0,1,6.135
0,1,6.103
0,1,6.114
0,1,6.115
0,1,6.110
0,1,6.125
0,1,6.103
0,1,6.125
0,1,6.133
0,1,6.093
0,1,6.124
0,1,6.113
0,1,6.118
0,1,6.112
0,1,6.123
0,1,6.117
0,1,6.122
0,1,6.128
0,1,6.119
0,1,6.092
0,1,6.142
0,1,6.114
0,1,6.100
0,1,6.132
0,1,6.113
0,1,6.132
0,1,6.117
0,1,6.111
0,1,6.120
