num_context_tokens,num_decode_tokens,latency_ms
2048,0,52.588
2048,0,46.978
2048,0,48.631
2048,0,50.415
2047,1,50.512
2047,1,50.522
2047,1,50.692
2047,1,51.016
2047,1,51.641
2046,2,53.243
2046,2,52.708
2046,2,52.621
2046,2,52.687
2045,3,52.448
2045,3,53.178
2045,3,52.602
22,3,8.146
0,4,6.611
0,4,6.678
0,4,6.620
0,4,6.578
0,4,6.574
0,4,6.572
0,4,6.615
0,4,6.556
0,4,6.573
0,4,6.550
0,4,6.565
0,4,6.569
0,4,6.540
0,4,6.540
0,4,6.608
0,4,6.595
0,4,6.482
0,4,6.576
0,4,6.532
0,4,6.557
0,4,6.537
0,4,6.538
0,4,6.519
0,4,6.525
0,4,6.459
0,4,6.511
0,4,6.522
0,4,6.483
0,4,6.507
0,4,6.512
0,4,6.508
0,4,6.488
0,4,6.494
0,4,6.508
0,4,6.477
0,4,6.513
0,4,6.481
0,4,6.498
0,4,6.486
0,4,6.462
0,4,6.472
0,4,6.500
0,4,6.472
0,4,6.505
0,4,6.442
0,4,6.481
0,4,6.471
0,4,6.467
0,4,6.456
0,4,6.486
0,4,6.505
0,4,6.418
0,4,6.461
0,4,6.472
0,4,6.478
0,4,6.446
0,4,6.450
0,4,6.443
0,4,6.482
0,4,6.425
0,4,6.479
0,4,6.459
0,4,6.445
0,4,6.440
0,4,6.470
0,4,6.452
0,4,6.456
0,4,6.444
0,4,6.489
0,4,6.467
0,4,6.443
0,4,6.443
0,4,6.476
0,4,6.460
0,4,6.463
0,4,6.448
0,4,6.454
0,4,6.472
0,4,6.475
0,4,6.441
0,4,6.470
0,4,6.478
0,4,6.427
0,4,6.471
0,4,6.457
0,4,6.472
0,4,6.470
0,4,6.447
0,4,6.447
0,4,6.462
0,4,6.476
0,4,6.455
0,4,6.471
0,4,6.457
0,4,6.463
0,4,6.574
0,4,6.310
0,4,6.485
0,4,6.477
0,4,6.425
0,4,6.460
0,4,6.466
0,4,6.469
0,4,6.451
0,4,6.502
0,4,6.453
0,4,6.458
0,4,6.430
0,4,6.471
0,4,6.449
0,4,6.480
0,4,6.437
0,4,6.467
0,4,6.481
0,4,6.441
0,4,6.452
0,4,6.488
0,4,6.430
0,4,6.469
0,4,6.475
0,4,6.455
0,4,6.431
0,4,6.473
0,4,6.455
0,4,6.451
0,4,6.474
0,4,6.473
0,4,6.427
0,4,6.452
0,4,6.458
0,4,6.444
0,4,6.467
0,4,6.454
0,4,6.440
0,4,6.465
0,4,6.461
0,4,6.444
0,4,6.467
0,4,6.468
0,4,6.454
0,4,6.454
0,4,6.465
0,4,6.447
0,4,6.449
0,4,6.459
0,4,6.462
0,4,6.457
0,4,6.460
0,4,6.455
0,4,6.460
0,4,6.478
0,4,6.439
0,4,6.444
0,4,6.453
0,4,6.482
0,4,6.432
0,4,6.472
0,4,6.478
0,4,6.444
0,4,6.441
0,4,6.456
0,4,6.476
0,4,6.451
0,4,6.474
0,4,6.455
0,4,6.441
0,4,6.471
0,4,6.456
0,4,6.438
0,4,6.490
0,4,6.433
0,4,6.456
0,4,6.467
0,4,6.447
0,4,6.477
0,4,6.458
0,4,6.450
0,4,6.459
0,4,6.462
0,4,6.442
0,4,7.131
0,4,5.814
0,4,6.478
0,4,6.433
0,4,6.437
0,4,6.433
0,4,6.496
0,4,6.413
0,4,6.455
0,4,6.492
0,4,6.436
0,4,6.486
0,4,6.419
0,4,6.459
0,4,6.451
0,4,6.460
0,4,6.473
0,4,6.461
0,4,6.459
0,4,6.467
0,4,6.466
0,4,6.428
0,4,6.468
0,4,6.492
0,4,6.439
0,4,6.467
0,4,6.442
0,4,6.461
0,4,6.452
0,4,6.457
0,4,6.483
0,4,6.447
0,4,6.469
0,4,6.463
0,4,6.476
0,4,6.462
0,4,6.449
0,4,6.448
0,4,6.480
0,4,6.464
0,4,6.438
0,4,6.469
0,4,6.484
0,4,6.436
0,4,6.466
0,4,6.459
0,4,6.448
0,4,6.464
0,4,6.477
0,4,6.461
0,4,6.466
0,4,6.443
0,4,6.475
0,4,6.442
0,4,6.482
0,4,6.455
0,4,6.458
0,4,6.474
0,4,6.465
0,4,6.449
0,4,6.451
0,4,6.490
0,4,6.432
0,4,6.458
0,4,6.474
0,4,6.464
0,4,6.503
0,4,6.451
0,4,6.501
0,4,6.449
0,4,6.499
0,4,6.464
0,4,6.477
0,4,6.476
0,4,6.486
0,4,6.507
0,4,6.470
0,4,6.446
0,4,6.474
0,4,6.453
0,4,6.475
0,4,6.473
0,4,6.487
0,4,6.470
0,4,6.471
0,4,6.479
0,4,6.484
0,4,6.443
0,4,6.467
0,4,6.469
0,4,6.480
0,4,6.458
0,4,6.478
0,4,6.494
0,4,6.448
0,4,6.469
0,4,6.469
0,4,6.463
0,4,6.491
0,4,6.495
0,4,6.424
0,4,6.472
0,4,6.502
0,4,6.447
0,4,6.477
0,4,6.461
0,4,6.480
0,4,6.460
0,4,6.469
0,4,6.489
0,4,6.440
0,4,6.492
0,4,6.479
0,4,6.470
0,4,6.479
0,4,6.434
0,4,6.503
0,4,6.475
0,4,6.487
0,4,6.453
0,4,6.478
0,4,6.451
0,4,6.516
0,4,6.466
0,4,6.473
0,4,6.466
0,4,6.455
0,4,6.475
0,4,6.490
0,4,6.467
0,4,6.462
0,4,6.497
0,4,6.465
0,4,6.496
0,4,6.445
0,4,6.479
0,4,6.486
0,4,6.478
0,4,6.490
0,4,6.456
0,4,6.486
0,4,6.470
0,4,6.475
0,4,6.488
0,4,6.436
0,4,6.503
0,4,6.488
0,4,6.465
0,4,6.483
0,4,6.455
0,4,6.512
0,4,6.450
0,4,6.477
0,4,6.473
0,4,6.509
0,4,6.432
0,4,6.464
0,4,6.487
0,4,6.464
0,4,6.482
0,4,6.452
0,4,6.483
0,4,6.480
0,4,6.455
0,4,6.460
0,4,6.508
0,4,6.465
0,4,6.463
0,4,6.466
0,4,6.483
0,4,6.474
0,4,6.464
0,4,6.482
0,4,6.473
0,4,6.482
0,4,6.470
0,4,6.463
0,4,6.482
0,4,6.480
0,4,6.459
0,4,6.483
0,4,6.477
0,4,6.500
0,4,6.441
0,4,6.499
0,4,6.465
0,4,6.488
0,4,6.465
0,4,6.471
0,4,6.502
0,4,6.459
0,4,6.483
0,4,6.497
0,4,6.430
0,4,6.511
0,4,6.483
0,4,6.456
0,4,6.481
0,4,6.476
0,4,6.472
0,4,6.469
0,4,6.495
0,4,6.499
0,4,6.467
0,4,6.495
0,4,6.465
0,4,6.479
0,4,6.477
0,4,6.491
0,4,6.465
0,4,6.490
0,4,6.485
0,4,6.472
0,4,6.467
0,4,6.470
0,4,6.482
0,4,6.471
0,4,6.477
0,4,6.504
0,4,6.482
0,4,6.459
0,4,6.477
0,4,6.483
0,4,6.483
0,4,6.464
0,4,6.486
0,4,6.497
0,4,6.435
0,4,6.476
0,4,6.482
0,4,6.500
0,4,6.472
0,4,6.476
0,4,6.457
0,4,6.491
0,4,6.461
0,4,6.503
0,4,6.476
0,4,6.463
0,4,6.471
0,4,6.496
0,4,6.464
0,4,6.498
0,4,6.487
0,4,6.467
0,4,6.487
0,4,6.482
0,4,6.477
0,4,6.478
0,4,6.490
0,4,6.503
0,4,6.447
0,4,6.503
0,4,6.500
0,4,6.460
0,4,6.492
0,4,6.496
0,4,6.470
0,4,6.496
0,4,6.491
0,4,6.468
0,4,6.464
0,4,6.527
0,4,6.484
0,4,6.440
0,4,6.500
0,4,6.478
0,4,6.473
0,4,6.465
0,4,6.520
0,4,6.471
0,4,6.488
0,4,6.479
0,4,6.487
0,4,6.473
0,4,6.467
0,4,6.483
0,4,6.476
0,4,6.490
0,4,6.478
0,4,6.487
0,4,6.482
0,4,6.488
0,4,6.466
0,4,6.491
0,4,6.490
0,4,6.492
0,4,6.429
0,4,6.502
0,4,6.486
0,4,6.493
0,4,6.471
0,4,6.527
0,4,6.420
0,4,6.521
0,4,6.469
0,4,6.468
0,4,6.495
0,4,6.459
0,4,6.486
0,4,6.456
0,4,6.517
0,4,6.470
0,4,6.481
0,4,6.479
0,4,6.510
0,4,6.452
0,4,6.496
0,4,6.460
0,4,6.486
0,4,6.483
0,4,6.508
0,4,6.457
0,4,6.503
0,4,6.499
0,4,6.453
0,4,6.495
0,4,6.493
0,4,6.495
0,4,6.484
0,4,6.469
0,4,6.476
0,4,6.495
0,4,6.473
0,4,7.310
0,4,5.657
0,4,6.533
0,4,6.425
0,4,6.507
0,4,6.474
0,4,6.466
0,4,6.487
0,4,6.465
0,4,6.493
0,4,6.476
0,4,6.465
0,4,6.499
0,4,6.480
0,4,6.483
0,4,6.479
0,4,6.489
0,4,6.467
0,4,6.477
0,4,6.468
0,4,6.478
0,4,6.466
0,4,6.498
0,4,6.464
0,4,6.466
0,4,6.493
0,4,6.466
0,4,6.490
0,4,6.483
0,4,6.454
0,4,6.526
0,4,6.440
0,4,6.466
0,4,6.528
0,4,6.453
0,4,6.503
0,4,6.437
0,4,6.491
0,4,6.492
0,4,6.470
0,4,6.462
0,4,6.494
0,4,6.472
0,4,6.501
0,4,6.439
0,4,6.484
0,4,6.509
0,4,6.458
0,4,6.457
0,4,6.495
0,4,6.512
0,4,6.459
0,4,6.480
0,4,6.474
0,4,6.476
0,4,6.481
0,4,6.498
0,4,6.484
0,4,6.463
0,4,6.488
0,4,6.481
0,4,6.488
0,4,6.477
0,4,6.502
0,4,6.459
0,4,6.504
0,4,6.492
0,4,6.469
0,4,6.492
0,4,6.499
0,4,6.509
0,4,6.434
0,4,6.525
0,4,6.454
0,4,6.513
0,4,6.469
0,4,6.480
0,4,6.494
0,4,6.480
0,4,6.482
0,4,6.496
0,4,6.474
0,4,6.497
0,4,6.459
0,4,6.491
0,4,6.479
0,4,6.485
0,4,6.484
0,4,6.484
0,4,6.475
0,4,6.453
0,4,6.501
0,4,6.486
0,4,6.475
0,4,6.509
0,4,6.462
0,4,6.489
0,4,6.497
0,4,6.457
0,4,6.476
0,4,6.472
0,4,6.486
0,4,6.495
0,4,6.471
0,4,6.489
0,4,6.483
0,4,6.466
0,4,6.490
0,4,6.471
0,4,6.469
0,4,6.509
0,4,6.480
0,4,6.494
0,4,6.475
0,4,6.489
0,4,6.486
0,4,6.472
0,4,6.475
0,4,6.484
0,4,6.487
0,4,6.491
0,4,6.499
0,4,6.470
0,4,6.498
0,4,6.499
0,4,6.494
0,4,6.506
0,4,6.454
0,4,6.536
0,4,6.480
0,4,6.526
0,4,6.477
0,4,6.507
0,4,6.500
0,4,6.508
0,4,6.473
0,4,6.503
0,4,6.487
0,4,6.486
0,4,6.492
0,4,6.495
0,4,6.491
0,4,6.509
0,4,6.472
0,4,6.497
0,4,6.494
0,4,6.475
0,4,6.488
0,4,6.485
0,4,6.485
0,4,6.495
0,4,6.504
0,4,6.488
0,4,6.492
0,4,6.488
0,4,6.482
0,4,6.487
0,4,6.476
0,4,6.504
0,4,6.511
0,4,6.474
0,4,6.477
0,4,6.509
0,4,6.461
0,4,6.505
0,4,6.471
0,4,6.500
0,4,6.470
0,4,6.501
0,4,6.503
0,4,6.482
0,4,6.490
0,4,6.499
0,4,6.467
0,4,6.520
0,4,6.470
0,4,6.499
0,4,6.476
0,4,6.502
0,4,6.491
0,4,6.486
0,4,6.500
0,4,6.507
0,4,6.470
0,4,6.497
0,4,6.520
0,4,6.466
0,4,6.515
0,4,6.505
0,4,6.487
0,4,6.492
0,4,6.490
0,4,6.490
0,4,6.529
0,4,6.475
0,4,6.507
0,4,6.491
0,4,6.492
0,4,6.494
0,4,6.497
0,4,6.474
0,4,6.524
0,4,6.489
0,4,6.495
0,4,6.493
0,4,6.486
0,4,6.520
0,4,6.465
0,4,6.509
0,4,6.462
0,4,6.539
0,4,6.466
0,4,6.511
0,4,6.471
0,4,6.486
0,4,6.488
0,4,6.481
0,4,6.511
0,4,6.480
0,4,6.492
0,4,6.489
0,4,6.492
0,4,6.491
0,4,6.491
0,4,6.490
0,4,6.487
0,4,6.522
0,4,6.480
0,4,6.459
0,4,6.507
0,4,6.517
0,4,6.485
0,4,6.480
0,4,6.503
0,4,6.479
0,4,6.491
0,4,6.477
0,4,6.510
0,4,6.498
0,4,6.506
0,4,6.480
0,4,6.477
0,4,6.522
0,4,6.490
0,4,6.518
0,4,6.488
0,4,6.481
0,4,6.475
0,4,6.494
0,4,6.511
0,4,6.492
0,4,6.509
0,4,6.461
0,4,6.495
0,4,6.493
0,4,6.505
0,4,6.485
0,4,6.504
0,4,6.487
0,4,6.509
0,4,6.477
0,4,6.553
0,4,6.463
0,4,6.477
0,4,6.487
0,4,6.505
0,4,6.538
0,4,6.436
0,4,6.513
0,4,6.492
0,4,6.515
0,4,6.457
0,4,6.517
0,4,6.479
0,4,6.531
0,4,6.463
0,4,6.525
