concurrency,num_prompts,completed,duration_s,request_throughput_rps,output_tok_s,output_tok_s_per_gpu,total_tok_s,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,tpot_p50_ms,tpot_p90_ms,itl_p50_ms,e2el_p50_ms,e2el_p90_ms
1,20,20,131.01,0.1527,156.3,19.5,1407.0,231.3,239.35,240.38,6.211,6.22,6.216,6584.5,6596.2
4,20,20,34.37,0.5819,595.9,74.5,5363.1,101.05,136.88,139.15,6.589,6.689,6.595,6843.7,6979.2
16,48,48,31.69,1.5145,1550.9,193.9,13957.7,579.58,1706.57,2585.21,9.589,10.462,8.33,10742.5,12255.6
64,192,192,70.2,2.735,2800.6,350.1,25205.4,1012.65,6217.35,7945.3,18.968,24.004,13.755,22087.0,30749.8
128,300,300,76.32,3.9307,4025.0,503.1,36224.9,1938.65,7524.75,13450.71,21.097,34.15,20.642,24711.6,40434.5
