num_context_tokens,num_decode_tokens,latency_ms
2048,0,54.458
2048,0,47.124
2048,0,48.656
2048,0,50.601
2047,1,50.396
2047,1,50.465
2047,1,50.592
2047,1,50.718
2047,1,50.562
2046,2,50.459
2046,2,50.863
2046,2,52.402
2046,2,52.479
2045,3,51.971
2045,3,51.445
2045,3,52.731
2045,3,52.051
2044,4,53.313
2044,4,53.015
2044,4,52.911
2044,4,52.232
2043,5,53.375
2043,5,54.170
2043,5,54.831
2043,5,50.856
2042,6,51.117
2042,6,51.585
2042,6,55.768
2042,6,50.679
2041,7,50.503
2041,7,51.008
2041,7,54.416
2041,7,51.804
2040,8,53.300
2040,8,51.301
2040,8,54.169
2040,8,50.608
2039,9,50.519
2039,9,51.433
2039,9,54.518
2039,9,50.789
2038,10,51.051
2038,10,52.164
2038,10,55.563
2038,10,51.689
2037,11,50.750
2037,11,51.326
2037,11,55.761
2037,11,50.651
2036,12,50.648
2036,12,51.222
2036,12,54.949
2036,12,51.027
2035,13,50.715
2035,13,51.762
2035,13,53.812
2035,13,52.108
2034,14,52.980
2034,14,52.681
2034,14,55.066
2034,14,47.978
2033,15,50.747
2033,15,51.505
2033,15,54.116
466,15,36.357
0,16,10.443
0,16,8.227
0,16,8.262
0,16,8.182
0,16,8.235
0,16,8.221
0,16,8.266
0,16,8.206
0,16,8.195
0,16,8.264
0,16,8.259
0,16,8.191
0,16,8.215
0,16,8.236
0,16,8.275
0,16,8.183
0,16,8.200
0,16,8.219
0,16,8.201
0,16,8.182
0,16,8.199
0,16,8.167
0,16,8.195
0,16,8.151
0,16,8.180
0,16,8.158
0,16,8.200
0,16,8.132
0,16,8.183
0,16,8.161
0,16,8.196
0,16,8.110
0,16,8.148
0,16,8.174
0,16,8.140
0,16,8.124
0,16,8.161
0,16,8.120
0,16,8.165
0,16,8.109
0,16,8.140
0,16,8.151
0,16,8.133
0,16,8.110
0,16,8.127
0,16,8.138
0,16,8.157
0,16,8.094
0,16,8.107
0,16,8.145
0,16,8.132
0,16,8.107
0,16,8.136
0,16,8.166
0,16,8.130
0,16,8.106
0,16,8.115
0,16,8.150
0,16,8.138
0,16,8.106
0,16,8.140
0,16,8.120
0,16,8.179
0,16,8.091
0,16,8.139
0,16,8.137
0,16,8.127
0,16,8.098
0,16,8.138
0,16,8.132
0,16,8.183
0,16,8.087
0,16,8.135
0,16,8.114
0,16,8.169
0,16,8.097
0,16,8.136
0,16,8.119
0,16,8.159
0,16,8.113
0,16,8.115
0,16,8.136
0,16,8.136
0,16,8.114
0,16,8.121
0,16,8.137
0,16,8.156
0,16,8.078
0,16,8.130
0,16,8.152
0,16,8.155
0,16,8.128
0,16,8.120
0,16,8.139
0,16,8.134
0,16,8.123
0,16,8.120
0,16,8.150
0,16,8.137
0,16,8.098
0,16,8.136
0,16,8.140
0,16,8.156
0,16,8.090
0,16,8.141
0,16,8.104
0,16,8.179
0,16,8.121
0,16,8.122
0,16,8.122
0,16,8.154
0,16,8.105
0,16,8.142
0,16,8.159
0,16,8.132
0,16,8.116
0,16,8.124
0,16,8.129
0,16,8.161
0,16,8.128
0,16,8.115
0,16,8.119
0,16,8.172
0,16,8.109
0,16,8.127
0,16,8.116
0,16,8.185
0,16,8.109
0,16,8.127
0,16,8.140
0,16,8.131
0,16,8.124
0,16,8.133
0,16,8.128
0,16,8.131
0,16,8.129
0,16,8.131
0,16,8.125
0,16,8.186
0,16,8.107
0,16,8.128
0,16,8.118
0,16,8.149
0,16,8.116
0,16,8.139
0,16,8.167
0,16,8.139
0,16,8.085
0,16,8.157
0,16,8.121
0,16,8.157
0,16,8.124
0,16,8.137
0,16,8.140
0,16,8.168
0,16,8.099
0,16,8.134
0,16,8.125
0,16,8.184
0,16,8.072
0,16,8.162
